country,description,designation,points,price,province,region_1,title,variety,winery,year,location,avg_temp,range_temp,stdv_temp,avg_precip,range_precip,stdv_precip,lat,lng,elevation,review_length,abv,bottle_size,category,importer
United States of America,"Apple mash and salty oak are on offer in this light-styled estate wine sourced from several of the producer's single vineyards. Mellow in texture, it's intense on the finish, with a snap of anise and nutmeg.",Estate,87,30,California,Russian River Valley,Thomas George 2014 Estate Chardonnay (Russian River Valley),Chardonnay,Thomas George,2014,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,36,14.2,750,White,not_imported
South Africa,"Initial brambly berry aromas are partnered with hints of smoky bacon and caramel sauce. The flavors are solid and ripe but not overdone, with attractive notes of blackberry and wild cherry. The medium tannins and ample acidity lend good balance and texture to the wine, while a pleasant astringency lingers on the finish.",Primo,88,29,Paarl,,Fairview 2010 Primo Pinotage (Paarl),Pinotage,Fairview,2010,"Paarl,South Africa",17.61656057,11.10531998,3.945795088,57.27163942,73.12992854,26.60092026,-33.741667,18.975,106,53,14,750,Red,Vineyard Brands
United States of America,"Soft and simple, with slightly sweet pie-filling flavors of cherries and mocha. A decent, everyday wine for picnics, barbecue and such.",,84,15,California,Lodi,181 2008 Merlot (Lodi),Merlot,181,2008,"Lodi,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.097198,-121.38785,1,21,14.5,750,Red,not_imported
United States of America,"This is dry and medium bodied, with flavors of hay, spice and sour cherry candy. Drink this rustic wine with simple fare, like burgers or pizza.",,84,9,California,California,Snap Dragon 2009 Red (California),Red Blend,Snap Dragon,2009,"California,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.701463,-118.755997,2761,26,13.5,750,Red,not_imported
Austria,"Ripe yellow pear notes signal a richness that is subsumed on the palate into a salty, zingy, lemon-zest savoriness. Sprays of white pepper flare deliciously at every turn while notes of the freshly cut peel of ripe lemons illuminate everything. A very compelling wine with lots of friendly personality. Utterly moreish.",Spiegel Vincent Reserve,94,69,Kamptal,,Brundlmayer 2014 Spiegel Vincent Reserve Gruner Veltliner (Kamptal),Grüner Veltliner,Bründlmayer,2014,"Kamptal,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,48.380713,16.524664,171,51,13.5,750,White,Terry Theise Estate Selections
United States of America,Light aromas of passion fruit and grapefruit are followed by tropical flavors that linger. It's an easy drinking quaffer.,,85,10,Washington,Washington,14 Hands 2014 Sauvignon Blanc (Washington),Sauvignon Blanc,14 Hands,2014,"Washington,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,42.36592,-73.116214,435,19,13,750,White,not_imported
Chile,"Spicy plum and olive aromas set the stage for a firm palate. Typical Carmenère flavors of herb, olive, spice and dark plum finish with oaky influences of carob and vanilla.",Family Vintage,86,18,Maipo Valley,,Tres Palacios 2012 Family Vintage Carmenere (Maipo Valley),Carmenère,Tres Palacios,2012,"Maipo Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-33.732865,-70.781236,453,30,14,750,Red,"Skurnik Wines, Inc"
Chile,"On first take, this smells high-toned and much like pine and sweat. With time, out come flavors of baking spices, vanilla, lychee, apricot and honeydew melon. On the finish, this is fresh, with flavors of vanilla and botrytis. Drink now.",Late Harvest Botrytised Grapes,90,16,Curicó Valley,,Montes 2013 Late Harvest Botrytised Grapes Gewurztraminer (Curico Valley),Gewürztraminer,Montes,2013,"Curicó Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-34.985333,-71.239407,217,40,12,375,Dessert,Guarachi Wine Partners
United States of America,"This blend of Cabernet Sauvignon, Merlot and Zinfandel offers lots to like at the price. It's soft, rich and finely tannic, with savory berry and spice flavors that straddle the border between dry and sweet.",Vintner's Reserve Summation,85,14,California,California,Kendall-Jackson 2008 Vintner's Reserve Summation Red (California),Red Blend,Kendall-Jackson,2008,"California,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.701463,-118.755997,2761,35,13.5,750,Red,not_imported
Germany,"Crisp, cutting pineapple and lemon acidity lends raciness this otherwise sunny kabinett full of sweet honeydew, apricot and peach flavors. It's a sprightly, briskly balanced wine with an easy-drinking, approachable feel. Drink now through 2020 to enjoy its freshness.",R Kabinett,89,18,Pfalz,,August Kesseler 2015 R Kabinett Riesling (Pfalz),Riesling,August Kesseler,2015,"Pfalz,Germany",7.677911351,16.99427104,5.988472622,77.46859794,41.7467436,12.88818694,49.371402,8.068329,182,39,10,750,White,Vineyard Brands
United States of America,"The trick to getting a Cabernet Sauvignon this ripe and oaky is to provide balance, and in this, Écluse has succeeded. Made from 100% Cabernet, it's enormously rich in blackberries and black currants, with dark chocolate, licorice and spice adding complexity. The tannins are, in a word, gorgeous. With high alcohol, the mouthfeel has a Cognac-like warmth, but doesn't feel uncomfortably hot. Drink now for fresh fruitiness.",Reserve Lock Vineyard,92,69,California,Paso Robles,Ecluse 2009 Reserve Lock Vineyard Cabernet Sauvignon (Paso Robles),Cabernet Sauvignon,Écluse,2009,"Paso Robles,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.626765,-120.691246,231,67,15.1,750,Red,not_imported
Australia,"From vines planted more than a century ago, this richly concentrated, voluptuous wine blossoms with time in the glass, revealing aromas of brandied black cherries and dark chocolate. The tannins are creamy smooth, the length on the palate prodigious. But at 15.5% alcohol, this wine's warmth is noticeable; opt for drinking it over the next 10 years.",Old Bastard,94,190,South Australia,Barossa Valley,Kaesler 2006 Old Bastard Shiraz (Barossa Valley),Shiraz,Kaesler,2006,"Barossa Valley,South Australia,Australia",21.33444619,12.37687959,4.421156388,51.02601605,78.21717408,27.38081361,-34.581713,138.998787,506,57,15.5,750,Red,Epicurean Wines
Italy,"Made with equal parts of Cabernet Sauvignon, Merlot and Alicante, this has earthy aromas of black-skinned fruit and game. The dense palate delivers prune, toast and tobacco alongside gripping, rather drying tannins.",3,87,24,Tuscany,Toscana,Poggio Verrano 2010 3 Red (Toscana),Red Blend,Poggio Verrano,2010,"Toscana,Tuscany,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,43.792284,11.332806,319,32,14,750,Red,"Aveniu Brands, Inc"
United States of America,"A lot selection; achingly dry but not just simple lemon juice. There's good concentration and a mix of mineral, rind, light citrus flesh, with excellent length and a finishing hint of honeysuckle.",Ara,89,25,Oregon,Eola-Amity Hills,Brooks 2009 Ara Riesling (Eola-Amity Hills),Riesling,Brooks,2009,"Eola-Amity Hills,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.78373,-100.445882,833,32,12,750,White,not_imported
United States of America,"Subtle but complex aromas, quietly seductive flavors and a svelte texture characterize this medium-bodied, elegant wine. Everything seems to be in place, with no elbows sticking out, and just enough tannic grip to keep it lively.",Hillside,91,29,California,Shenandoah Valley (CA),Vino Noceto 2013 Hillside Sangiovese (Shenandoah Valley (CA)),Sangiovese,Vino Noceto,2013,"Shenandoah Valley (CA),California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.485125,-78.625016,293,36,13.5,750,Red,not_imported
Portugal,"This wine shows juicy, ripe fruit without much structure. Full of red fruit, smoke tones and considerable acidity, this is a drink-now sipper.",Vila Jardim,85,12,Tejo,,Quinta Vale do Armo 2010 Vila Jardim Red (Tejo),Touriga Nacional Blend,Quinta Vale do Armo,2010,"Tejo,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,23,13.5,750,Red,European Wine Imports
France,"Mainly made from the local star Négrette, this is a rounded ripe wine. It has spice and attractive caramel flavors as well as plenty of fruity acidity. Made to drink young, it is ready for the summer.",L'Allégresse,87,14,Southwest France,Fronton,Chateau Bellevue la Foret 2016 L'Allegresse Rose (Fronton),Rosé,Château Bellevue la Forêt,2016,"Fronton,Southwest France,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,43.840295,1.390285,155,37,13,750,Rose,Masciarelli Wine Co
United States of America,"Raspberry crumble immediately comes to mind in this vineyard-designate, a luxuriously built, big-bodied expression of a warm, easy vintage. A nose of violet keeps it from getting overly rambunctious around the heartier aspects of cranberry, crushed rose petals and cherry cola.",Laguna Knoll Vineyard,92,70,California,Russian River Valley,Signorello 2012 Laguna Knoll Vineyard Pinot Noir (Russian River Valley),Pinot Noir,Signorello,2012,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,41,14.6,750,Red,not_imported
United States of America,"Sourced from Willamette and Umpqua Valley vineyards, this sweetly spicy wine carries a streak of orange peel and flesh. The pretty cherry fruit is fresh and tasty, and for an everyday bottle of Oregon Pinot, it's right on the money.",,88,17,Oregon,Oregon,Rainstorm 2014 Pinot Noir (Oregon),Pinot Noir,Rainstorm,2014,"Oregon,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,43.97928,-120.737257,1177,40,13,750,Red,not_imported
United States of America,"Complex and generous on the palate, this vineyard-designated varietal is surprisingly light and bright in spirit, ethereal even, offering aromas of black pepper, violets and gunpowder, hard to figure out but inviting nonetheless. On the palate, juicy plum and dark cherry provide an exuberant edge.",Rossi Ranch,92,38,California,Sonoma Valley,Carlisle 2013 Rossi Ranch Grenache (Sonoma Valley),Grenache,Carlisle,2013,"Sonoma Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.285056,-122.421257,63,45,14.9,750,Red,not_imported
United States of America,"Floral, exciting and chocolaty, this is a dense, rich, well-crafted beauty. Yummy is one of the best ways to describe it. It has full but friendly tannins, all the length you could ask for, and in the final analysis it leaves an impression of heft and significance.",,92,64,California,Napa Valley,Seavey 1997 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Seavey,1997,"Napa Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.023468,-84.450465,243,47,14,750,Red,not_imported
Israel,"The herbal aromas are forward on the nose of this Cabernet-based wine, which includes 7% Petit Verdot, 4% Mourvèdre and 3% Merlot. Gamy, rich red plum and cherry notes unfold shortly after, while the hefty palate offers earthy flavors of cassis and tobacco leaf. Sweet smoke and toast accents linger on the long finish. The wine is young and powerful now; try after 2015.",The Great,89,75,Galilee,,Alexander 2009 The Great Cabernet Sauvignon (Galilee),Cabernet Sauvignon,Alexander,2009,"Galilee,Israel",18.65109155,19.11475057,6.757547433,11.89768225,25.76222935,8.83179151,32.603212,35.444796,98,64,14,750,Red,Royal Wine Corporation
United States of America,"Aromas of dark plum, blue fruit and spice lead to full fruit flavors that show intensity, with vanilla flavors on the finish. The tannins show a slight grittiness that softens over time.",,89,13,Washington,Yakima Valley,Lone Birch 2014 Syrah (Yakima Valley),Syrah,Lone Birch,2014,"Yakima Valley,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.601557,-120.510842,325,32,14.4,750,Red,not_imported
Portugal,"The wood aging is still showing in the aroma of the wine. On the palate, the fruitiness of the blend of Antão Vaz, Arinto and Viognier comes across richly with flavors of apricots, green plums and pink grapefruit. This fruitiness is layered over the wood spice to give a creamy wine that will age. Drink from 2017.",Monte de Carrapatelo Branco,90,25,Alentejano,,Luis Duarte 2014 Monte de Carrapatelo Branco White (Alentejano),Portuguese White,Luis Duarte,2014,"Alentejano,Portugal",16.07577561,9.483322288,3.353981031,55.12418526,88.22825322,29.33222663,39.78373,-100.445882,833,57,13.5,750,White,Specialty Cellars
United States of America,"Like its companion Syrah from Cedar Ridge Vineyard fruit, this is pure varietal and spent 18 months in American oak. Earthy and somewhat bitter flavors of charred wood and espresso dominate the cassis fruit. The finish is chalky and tannic.",Meadowlark Vineyard,85,26,Oregon,Rogue Valley,Weisinger 2012 Meadowlark Vineyard Syrah (Rogue Valley),Syrah,Weisinger,2012,"Rogue Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.515509,-122.657024,11,40,14.9,750,Red,not_imported
United States of America,"This pale pink to slightly orange rosé shows tangerine, cantaloupe, cherry and sand aromas on the somewhat muddled nose. It's light in texture and a little flat on the palate but presents enjoyable squeezed lemon and watermelon flavors.",,86,20,California,Central Coast,Mariposa 2016 Rose (Central Coast),Rosé,Mariposa,2016,"Central Coast,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,-33.31171,151.312067,176,38,13.1,750,Rose,not_imported
United States of America,"The fruit intensity and depth in this full-bodied and beautifully balanced wine is gorgeous to taste. Black cherry, red cherry and cassis flavors run through it, while velvety tannins add a great mouthfeel. A nice sense of viscosity carries through to the finish.",Single Vineyard,93,72,California,Anderson Valley,Donum 2013 Single Vineyard Pinot Noir (Anderson Valley),Pinot Noir,Donum,2013,"Anderson Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,40.448208,-122.297781,133,43,14.1,750,Red,not_imported
Chile,"This Merlot is dry and scratchy on the nose, with raspberry and spice aromas. It's fresh and clean on the palate, with a quick wave of spicy red-berry flavor. It remains spicy and a touch minty on the finish.",,85,10,Central Valley,,Con Carne 2011 Merlot (Central Valley),Merlot,Con Carne,2011,"Central Valley,Chile",9.374296779,8.85241245,3.146808532,90.14825167,41.46938646,13.67420221,-23.122392,-69.540424,1385,39,13,750,Red,LCF Wines
Germany,"Expansive body and a undulating, textural palate set this dry Riesling apart. The palate is juicy yet elegant, full of ripe, concentrated white grapefruit and lime flavors. Fresh yet powerful, it finishes on lingering notes of earth and smoke. Drink now through 2030.",Schlossberg Trocken GG,92,82,Franken,,Castell 2014 Schlossberg Trocken GG Riesling (Franken),Riesling,Castell,2014,"Franken,Germany",7.677911351,16.99427104,5.988472622,77.46859794,41.7467436,12.88818694,54.30146,13.110357,10,43,13.5,750,White,"Valckenberg International, Inc"
New Zealand,"Struck flint and slightly smoky aromas give way to flavors of honeyed peaches and toasted nuts—not full on, like a Chardonnay might be, but restrained yet lush at the same time. In only a few years, this has quickly become one of New Zealand's best Pinot Gris.",,92,25,Marlborough,,Greywacke 2011 Pinot Gris (Marlborough),Pinot Gris,Greywacke,2011,"Marlborough,New Zealand",12.19364977,6.734552292,2.381810766,102.0731116,41.56097643,12.69657044,-41.474475,173.833026,44,47,14,750,White,Old Bridge Cellars
New Zealand,"Despite some ripe, honeyed aromas, this is light in body and quite lean on the palate. Underripe pineapple flavors show a tart, herbal edge on the finish.",,84,16,Marlborough,,Chasing Venus 2014 Sauvignon Blanc (Marlborough),Sauvignon Blanc,Chasing Venus,2014,"Marlborough,New Zealand",12.19364977,6.734552292,2.381810766,102.0731116,41.56097643,12.69657044,-41.474475,173.833026,44,27,13,750,White,Crew Wine Company
United States of America,"From the estate Main Ranch and given 10 months in French oak, less than half of it new, this has a high-acidity backbone that lifts and balances out the wine's richer tendencies. Lemon crème brûlée provides the weight and intensity.",Harmony,86,50,California,Oak Knoll District,Trefethen 2013 Harmony Chardonnay (Oak Knoll District),Chardonnay,Trefethen,2013,"Oak Knoll District,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,42.303785,-122.974546,538,40,14.6,750,White,not_imported
United States of America,"This blend from a newer Westside Paso winery offers blackberry, charred pine and sour cherry aromas. The palate is driven by pine sap, charred game and sharp herbs such as oregano and rosemary, and would be a great way to spice up a steak dinner.",Forty Two,88,42,California,Paso Robles,Brecon Estate 2012 Forty Two Red (Paso Robles),Rhône-style Red Blend,Brecon Estate,2012,"Paso Robles,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,35.626765,-120.691246,231,45,14.5,750,Red,not_imported
United States of America,"Sweet oak dominates, making it taste like buttered toast dipped into wine. The pineapple and orange fruit underneath all that wood is just fine.",,84,25,California,Russian River Valley,VML 2010 Chardonnay (Russian River Valley),Chardonnay,VML,2010,"Russian River Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.634525,-122.830851,34,24,14.6,750,White,not_imported
Argentina,"Light, transparent and candied with underdeveloped, boring flavors and a mild chemical harshness. Barely worth a look. 40,000 cases produced.",Estate Bottled,80,8,Mendoza Province,Mendoza,Rio Seco 2007 Estate Bottled Malbec (Mendoza),Malbec,Rio Seco,2007,"Mendoza,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.870072,-68.547997,1032,20,13,750,Red,Vici Wine and Spirits
New Zealand,"Slightly herbal in style, with hints of tomato leaf accenting black cherry fruit. This is a crisp, fresh—even tangy—red that perhaps needs a few months to settle down and smooth out. Try it later this year; it should cellar well through 2018.",Cellar Selection,87,30,Marlborough,,Villa Maria 2009 Cellar Selection Pinot Noir (Marlborough),Pinot Noir,Villa Maria,2009,"Marlborough,New Zealand",12.19364977,6.734552292,2.381810766,102.0731116,41.56097643,12.69657044,-41.474475,173.833026,44,42,14,750,Red,Ste. Michelle Wine Estates
Italy,"Intense aromas that recall tomato vine, hay, stone fruit and dill lead the nose. The vibrant palate shows honeydew melon, grapefruit and mineral alongside zesty acidity that leaves a tangy finish.",,89,18,Northeastern Italy,Collio,Zorzon 2014 Sauvignon (Collio),Sauvignon,Zorzon,2014,"Collio,Northeastern Italy,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,45.809312,10.332872,839,31,13,750,White,Ribevi Wine Int
United States of America,"Alpha is a new offering from Market Vineyards, and boosts the flavor meter past the winery's excellent, value-priced Benchmark Merlot. Tightly-structured and showing a barrel-heavy mix of dark, toasted flavors, this complex effort brings lead pencil, clove, charred meat and black fruits into play. Enjoy it with your thick grilled steak, or tuck it away until 2020–2022.",Alpha,93,52,Washington,Red Mountain,Market Vineyards 2010 Alpha Merlot (Red Mountain),Merlot,Market Vineyards,2010,"Red Mountain,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,48.9454,-122.106816,691,57,14.9,750,Red,not_imported
France,"A lovely, clean and aromatic lift of ripe red cherries is instantly appetizing. The palate is full of juicy fruit but structured with slightly rustic but smoothed-out tannins and a bright lively freshness. This is honest fresh-faced fruit-driven Pinot Noir without any pretentiousness that is a joy to drink.",Classic,90,24,Alsace,Alsace,Hugel 2013 Classic Pinot Noir (Alsace),Pinot Noir,Hugel,2013,"Alsace,Alsace,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,49.127043,6.145731,170,49,12,750,Red,"Frederick Wildman & Sons, Ltd"
Italy,"Made with 85% Sangiovese, 10% Cabernet Sauvignon and 5% Merlot, this shows subdued aromas of dark berry and cooking spice. The straightforward palate doles out crushed plum and clove alongside assertive tannins.",Alle Viole,87,27,Tuscany,Toscana,Tenuta di Ceppaiano 2015 Alle Viole Red (Toscana),Red Blend,Tenuta di Ceppaiano,2015,"Toscana,Tuscany,Italy",13.84565306,14.71520433,5.169522481,56.19966563,56.06968785,17.68605786,43.792284,11.332806,319,32,12.5,750,Red,Mission Wine Company
United States of America,"A smoky narcissus note is upfront and almost obtrusive, with brooding notes of spiced black fruit and char lurking in the background. The tannins are drying—with the consistency of finely ground sand—and they constrict the flavors a bit. A food wine for sure, it needs to be paired with a slab of rare meat.",Marquis de Lafayette,86,20,Virginia,Virginia,Breaux 2009 Marquis de Lafayette Cabernet Franc (Virginia),Cabernet Franc,Breaux,2009,"Virginia,Virginia,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,37.540329,-77.439526,51,54,14.5,750,Red,not_imported
France,"Making a vintage only from Chardonnay, the Gimmonet family is able to bring out the best of the year. This wine retains its crispness, minerality, almost chalky texture and fresh pear flavors. Its freshness promises aging potential.",Spécial Club Premier Cru Brut,92,84,Champagne,Champagne,Pierre Gimonnet et Fils 2000 Special Club Premier Cru Brut Chardonnay (Champagne),Chardonnay,Pierre Gimonnet et Fils,2000,"Champagne,Champagne,France",10.99569921,14.43840141,5.074146556,76.11128248,57.33432783,18.02801744,48.762832,1.57063,125,37,12,750,Sparkling,"Skurnik Wines, Inc"
United States of America,"One of the strongest aromas of beets I have smelled in a wine; also some vanilla and cream nuances. Tasty and satisfying, if a bit one-dimensional.",Sunnymount Cuvée,85,50,Oregon,Willamette Valley,Benton-Lane 1998 Sunnymount Cuvee Pinot Noir (Willamette Valley),Pinot Noir,Benton-Lane,1998,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,26,13.9,750,Red,not_imported
Austria,"Rich and rounded, this has notes of spice and ripe white and yellow fruit. Immediately attractive, it has complex acidity and a zesty texture. This should be ready to drink in 6 months. Screwcap.",,90,22,Kamptal,,Loimer 2011 Gruner Veltliner (Kamptal),Grüner Veltliner,Loimer,2011,"Kamptal,Austria",7.394704769,19.45019365,6.792561746,80.54383606,50.32248083,15.54089694,48.380713,16.524664,171,34,12.5,750,White,The Winebow Group LLC
United States of America,"Nuances of vanilla and toasted baguette add flair to this full-bodied and textural wine. It has straightforward crisp apple and grapefruit flavors, a dry balance, and a taut, almost astringent finish.",Betsy's Backacher,88,17,California,California,Spann Vineyards 2015 Betsy's Backacher White (California),White Blend,Spann Vineyards,2015,"California,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,36.701463,-118.755997,2761,31,13.7,750,White,not_imported
United States of America,"This is aged in 100% new American oak, putting tight berry and cassis flavors behind plenty of dried herb notes and astringent tannins. Fine for drinking with a thick steak, but not so much for sipping on its own.",,87,45,Washington,Columbia Valley (WA),Barons V 2008 Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Barons V,2008,"Columbia Valley (WA),Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,46.294767,-117.91747,711,39,14.5,750,Red,not_imported
United States of America,"An exciting discovery from Placer County, this blend of 66% Syrah and 34% Petite Sirah has a deep color, opulent blackberry and black cherry aromas and equally ripe fruit flavors that pack a lot of concentration. It's full-bodied, firmly tannic and so rich the fruit seems to cling to the sides of the mouth.",Espion,92,30,California,Sierra Foothills,Le Casque 2014 Espion Red (Sierra Foothills),Red Blend,Le Casque,2014,"Sierra Foothills,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,37.394157,-121.859452,42,54,15.2,750,Red,not_imported
United States of America,"A decadent Petit Verdot, this boasts aromas of pastry spices, dark berry compote and violets, with touches of thyme and licorice. It is robust and lush, and packs manicured tannins and lifting acids that remain balanced on the floral finish.",Reserve,89,30,Virginia,Virginia,Barboursville Vineyards 2010 Reserve Petite Verdot (Virginia),Petite Verdot,Barboursville Vineyards,2010,"Virginia,Virginia,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,37.540329,-77.439526,51,40,14.4,750,Red,not_imported
United States of America,"This is an authoritative Red Mountain Cabernet, from a rising star with an excellent young vineyard. Great structure and a spine of steel support a tightly-wound core of pure cassis. The tannins are hard but fully ripe, with black olive, coffee grounds and bourbon barrel highlights.",Electrum Estate Grown,92,65,Washington,Red Mountain,Obelisco Estate 2010 Electrum Estate Grown Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Obelisco Estate,2010,"Red Mountain,Washington,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,48.9454,-122.106816,691,46,14.1,750,Red,not_imported
United States of America,"This is an extreme example of an extreme varietal. The color is black except for a thin purple rim. The aromas are like dark chocolate and subdued blueberry. Flavors convey a deep profusion of blackberry and boysenberry with hints of sweet oak. Very full-bodied, full-flavored and mouthfilling, it delivers power with polish.",,92,26,California,Amador County,Deaver 2010 Petite Sirah (Amador County),Petite Sirah,Deaver,2010,"Amador County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.449089,-120.591102,829,52,15,750,Red,not_imported
United States of America,"Though still quite young, this cuvée is immediately flavorful and intriguing. Earthy and showing a whiff of leather, its tart berry fruit opens up quickly and broadens across the palate. Best guess is drink it young, now through 2018, for maximum pleasure.",Barrel Select,89,30,Oregon,Willamette Valley,Raptor Ridge 2013 Barrel Select Pinot Noir (Willamette Valley),Pinot Noir,Raptor Ridge,2013,"Willamette Valley,Oregon,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,45.344287,-122.667037,50,42,12.5,750,Red,not_imported
Argentina,"Hot and fiery at first, but then it tames itself while revealing jammy blackberry and roasted plum aromas. Feels extracted and full, with a mix of baked berry, herb and peppery flavors that run deep and delicious. Spicy and chocolaty on the oaky finish, with smooth tannins, sweetness and oaky length. Drink now through 2014.",Cobos Marchiori Vineyard,92,175,Mendoza Province,Perdriel,Vina Cobos 2009 Cobos Marchiori Vineyard Malbec (Perdriel),Malbec,Viña Cobos,2009,"Perdriel,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-33.080138,-68.886266,959,55,14.8,750,Red,Paul Hobbs Selections
United States of America,"This luscious, flavorful and mouthcoatingly rich wine smells like ripe strawberries, and tastes almost like blackberry jam. It does a good job of balancing lots of ripe and nearly sweet fruit flavors with firm tannins and has a rich and lingering finish. It's high in alcohol and flavor.",The Brawler,90,36,California,Calaveras County,Prospect 772 2012 The Brawler Syrah (Calaveras County),Syrah,Prospect 772,2012,"Calaveras County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.255818,-120.498149,880,48,15.5,750,Red,not_imported
Argentina,"Spice, mint, herb, raspberry and currant aromas form a good nose. Things run a bit choppy and rough on the palate, but overall it works, bearing roasted berry and herb influences, with grabby tannins. This is a full, stocky, spicy and mildly green-leaning Cabernet.",1300,87,15,Mendoza Province,Uco Valley,Andeluna 2010 1300 Cabernet Sauvignon (Uco Valley),Cabernet Sauvignon,Andeluna,2010,"Uco Valley,Mendoza Province,Argentina",13.52847747,13.51826567,4.78122422,63.74336531,42.3107214,13.64178749,-34.578847,-58.435308,17,44,14.5,750,Red,San Francisco Wine Exchange
United States of America,"Not much to like in this sweet, soft, simple Pinot Noir. It has raspberry, cola and licorice flavors. This brand has all but collapsed recently.",Spanish Springs Vineyard,82,35,California,Edna Valley,Evening Land 2011 Spanish Springs Vineyard Pinot Noir (Edna Valley),Pinot Noir,Evening Land,2011,"Edna Valley,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,28.978595,-96.646088,25,25,13,750,Red,not_imported
United States of America,"Dusty, chalky tones accent fresh apple and pear flavors throughout this minerally off-dry wine. Honed and steely on the palate, it finishes briskly on a tart, lemony note. Refreshing and quaffable in style.",Red Oak Vineyard,87,20,New York,Finger Lakes,Lamoreaux Landing 2012 Red Oak Vineyard Riesling (Finger Lakes),Riesling,Lamoreaux Landing,2012,"Finger Lakes,New York,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,39.621495,-84.198677,277,33,12.5,750,White,not_imported
United States of America,"Made from 70% Zinfandel, 17% Petite Sirah and 3% Alicante Bouschet, this is bocce-court wine, a nod to Sonoma County's vinous heritage that opens in forested notes and dried plum, blueberry and a hint of pine. Plush and full bodied, it holds on to its tannins without completely giving in to them.",Moonset,87,35,California,Sonoma County,JCK Wine Company 2014 Moonset Red (Sonoma County),Red Blend,JCK Wine Company,2014,"Sonoma County,California,US",6.344340901,23.88707373,8.534117159,70.16694386,21.13237912,6.204226333,38.51108,-122.847339,27,52,14.7,750,Red,not_imported
